FIPS_Code,State,Area_name,Unemployment_rate_2020,Metropolitan Area,State,Q4 2020 Price,"Percent of adults with a bachelor's degree or higher, 2015-19",Estimate!!Median gross rent --!!Total:,preciptition avg (inches) last 12 months,preciptition avg (inches) last 100 years,sunlight (kj / sq m),avg daily max temp in summer,avg daily max heat index in summer,avg daily max temp in winter,Politics - % democrat 2020,Politics - % republican 2020,Tax burden,2015-2019 Estimates!!SEX AND AGE!!Total population!!Median age (years),Mean education public school test scores - Ordinary Least Squares (OLS) estimate,Mean education public school  Test scores - Empirical Bayes (EB) estimate,is_coastal,is_mountainous,weather_buckets,Civilian_labor_force_2020,2_hours_major_airport
2020,AK,"Anchorage Borough/municipality, AK",7.4,"Anchorage, AK MSA",Alaska,328723,36.10882187,1320,,,#N/A,#N/A,#N/A,#N/A,65%,32%,5.10%,33.6,-0.01670217153,-0.01857295041,Not near the coast,Not near mountains,Unknown,"148,392",TRUE
2110,AK,"Juneau Borough/city, AK",6.6,AK NONMETROPOLITAN AREA,Alaska,357665,38.41141891,1310,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.10%,38.1,0.004106450483,0.0003659775532,Not near the coast,Not near mountains,Unknown,"16,374",FALSE
2201,AK,"Prince of Wales-Outer Ketchikan Census Area, AK",,#N/A,#N/A,#N/A,,#N/A,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.10%,#N/A,#N/A,#N/A,Not near the coast,Not near mountains,Unknown,,FALSE
2220,AK,"Prince of Wales-Outer Ketchikan Census Area, AK",6.9,AK NONMETROPOLITAN AREA,Alaska,370797,33.37129974,1131,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.10%,39.5,0.08729860902,0.07545562581,Not near the coast,Not near mountains,Unknown,"4,132",FALSE
2232,AK,"Skagway-Hoonah-Angoon Census Area, AK",,#N/A,#N/A,#N/A,,#N/A,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.10%,#N/A,#N/A,#N/A,Not near the coast,Not near mountains,Unknown,,FALSE
2275,AK,"Wrangell Borough/city, AK",8.4,,Alaska,,19.4285717,844,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.10%,#N/A,0.1745710703,0.185072397,Not near the coast,Not near mountains,Unknown,984,FALSE
2280,AK,"Wrangell-Petersburg Census Area, AK",,#N/A,#N/A,#N/A,,#N/A,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.10%,#N/A,#N/A,#N/A,Not near the coast,Not near mountains,Unknown,,FALSE
2282,AK,"Yakutat Borough/city, AK",8.5,AK NONMETROPOLITAN AREA,Alaska,209181,22.62443352,900,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.10%,#N/A,-0.1930587938,-0.1677079774,Not near the coast,Not near mountains,Unknown,260,FALSE
6075,CA,"San Francisco County/city, CA",7.8,"San Francisco-Oakland-Fremont, CA MSA",California,1108718,58.06106567,1895,,,18386,57.2575,#DIV/0!,53.9525,85%,13%,9.48%,38.2,-0.06231385294,-0.06219632069,Not near the coast,Less than 1 hour,Unknown,"556,056",TRUE
8014,CO,"Broomfield County/city, CO",6.6,"Denver-Aurora, CO MSA",Colorado,505492,55.74991608,1679,,,#N/A,#N/A,#N/A,#N/A,62%,35%,8.31%,37.8,0.4289524619,0.4274039463,Not near the coast,Less than 1 hour,Unknown,"40,226",TRUE
